IPUMS Code	IPUMS Title	ONET Title	R	I	A	S	E	C
2630	Designers	Video Game Designers	2.0	3.0	6.0	1.67	4.67	3.33
2630	Designers	Instructional Designers and Technologists	3.0	4.0	4.0	4.33	5.33	3.33
2700	Actors, Producers, and Directors	Actors	2.67	1.33	6.67	3.0	4.67	1.67
2720	Athletes, Coaches, Umpires, and Related Workers	Athletes and Sports Competitors	6.33	1.0	1.67	3.0	4.67	2.33
2720	Athletes, Coaches, Umpires, and Related Workers	Umpires, Referees, and Other Sports Officials	6.0	1.67	1.33	3.0	6.0	4.33
2740	Dancers and Choreographers	Dancers	5.33	1.67	7.0	3.33	3.0	1.0
2740	Dancers and Choreographers	Choreographers	2.67	1.67	7.0	5.0	4.67	1.67
2750	Musicians, Singers, and Related Workers	Singers	1.67	1.0	7.0	2.67	4.33	1.0
2800	Announcers	Radio and Television Announcers	1.0	2.0	5.67	4.67	5.33	2.0
2800	Announcers	Public Address System and Other Announcers	1.67	1.0	4.0	6.0	5.67	2.0
2810	Editors, News Analysts, Reporters, and Correspondents	Editors	1.33	2.0	6.33	2.0	6.0	4.0
2825	Public Relations Specialists	Public Relations Specialists	1.0	2.0	5.0	4.67	7.0	3.0
2840	Technical Writers	Technical Writers	1.33	4.33	6.33	1.33	2.67	3.67
2900	Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other	Sound Engineering Technicians	6.67	2.67	5.0	1.0	3.33	3.67
2910	Photographers	Photographers	4.67	2.0	6.0	2.33	3.33	1.33
2920	Television, Video, and Motion Picture Camera Operators and Editors	Camera Operators, Television, Video, and Motion Picture	6.33	2.67	6.0	2.33	2.33	3.67
3000	Chiropractors	Actors	2.67	1.33	6.67	3.0	4.67	1.67
3000	Chiropractors	Chiropractors	5.33	5.67	2.0	6.0	2.67	2.0
3010	Dentists	Dentists, General	5.33	7.0	1.67	4.0	2.33	3.0
3030	Dieticians and Nutritionists	Dietitians and Nutritionists	2.33	6.67	2.33	6.33	4.0	2.0
3040	Optometrists	Optometrists	5.0	6.0	1.0	5.33	3.33	2.67
3050	Pharmacists	Pharmacists	3.33	7.0	1.33	4.33	2.67	5.33
3060	Physicians and Surgeons	Surgeons	5.67	6.33	2.33	5.0	3.0	2.67
3110	Physician Assistants	Physician Assistants	4.0	6.33	2.0	6.33	1.67	2.67
3120	Podiatrists	Podiatrists	4.33	7.0	2.0	6.0	2.67	2.0
3130	Registered Nurses	Registered Nurses	3.67	5.67	1.67	7.0	2.0	4.67
3140	Audiologists	Audiologists	2.67	6.67	2.33	6.33	1.67	3.67
3140	Audiologists	Radiologists	6.0	6.67	1.67	4.67	1.0	3.0
3150	Occupational Therapists	Occupational Therapists	3.0	4.33	3.33	7.0	3.0	3.67
3160	Physical Therapists	Physical Therapists	4.33	5.67	2.33	7.0	2.67	3.0
3200	Radiation Therapists	Radiation Therapists	5.33	3.67	1.0	5.67	1.67	5.0
3210	Recreational Therapists	Recreational Therapists	1.67	3.67	4.67	7.0	3.33	2.33
3220	Respiratory Therapists	Respiratory Therapists	4.33	5.0	1.33	6.67	2.33	2.67
3230	Speech Language Pathologists	Speech-Language Pathologists	1.67	6.0	4.33	6.67	2.0	2.33
3230	Speech Language Pathologists	Pathologists	4.33	6.67	1.67	3.0	1.0	3.33
3240	Therapists	Art Therapists	1.33	4.0	6.67	7.0	1.67	2.67
3240	Therapists	Marriage and Family Therapists	1.0	4.0	4.33	7.0	2.67	2.33
3250	Veterinarians	Veterinarians	5.67	7.0	2.0	3.67	1.67	2.67
3300	Clinical Laboratory Technologists and Technicians	Computer User Support Specialists	5.67	5.33	1.67	4.33	2.67	5.33
3300	Clinical Laboratory Technologists and Technicians	Electronics Engineering Technicians	6.67	5.67	2.0	1.0	2.67	3.67
3310	Dental Hygienists	Dental Hygienists	5.67	3.0	1.0	6.0	2.0	3.67
3320	Diagnostic Related Technologists and Technicians	Computer User Support Specialists	5.67	5.33	1.67	4.33	2.67	5.33
3320	Diagnostic Related Technologists and Technicians	Electronics Engineering Technicians	6.67	5.67	2.0	1.0	2.67	3.67
3400	Emergency Medical Technicians and Paramedics	Emergency Medical Technicians and Paramedics	4.33	4.67	1.33	6.33	4.0	2.67
3410	Health Diagnosing and Treating Practitioner Support Technicians	Computer User Support Specialists	5.67	5.33	1.67	4.33	2.67	5.33
3410	Health Diagnosing and Treating Practitioner Support Technicians	Computer User Support Specialists	5.67	5.33	1.67	4.33	2.67	5.33
3500	Licensed Practical and Licensed Vocational Nurses	Licensed Practical and Licensed Vocational Nurses	5.0	3.33	1.33	7.0	2.33	3.67
3510	Medical Records and Health Information Technicians	Medical Records and Health Information Technicians	2.0	1.0	1.0	2.33	3.67	7.0
3520	Opticians, Dispensing	Opticians, Dispensing	4.33	1.67	1.67	4.33	6.33	5.33
