IPUMS Title	ONET Title
Interviewers, Except Eligibility and Loan	Interviewers, Except Eligibility and Loan
Library Assistants, Clerical	Library Assistants, Clerical
Loan Interviewers and Clerks	Loan Interviewers and Clerks
New Account Clerks	New Accounts Clerks
Correspondent clerks and order clerks	Order Clerks
Human Resources Assistants, Except Payroll and Timekeeping	Human Resources Assistants, Except Payroll and Timekeeping
Receptionists and Information Clerks	Receptionists and Information Clerks
Reservation and Transportation Ticket Agents and Travel Clerks	Reservation and Transportation Ticket Agents and Travel Clerks
Information and Record Clerks, All Other	Information and Record Clerks, All Other
Cargo and Freight Agents	Cargo and Freight Agents
Couriers and Messengers	Couriers and Messengers
Dispatchers	Police, Fire, and Ambulance Dispatchers
Dispatchers	Dispatchers, Except Police, Fire, and Ambulance
Meter Readers, Utilities	Meter Readers, Utilities
Postal Service Clerks	Postal Service Clerks
Postal Service Mail Carriers	Postal Service Mail Carriers
Postal Service Mail Sorters, Processors, and Processing Machine Operators	Postal Service Mail Sorters, Processors, and Processing Machine Operators
Production, Planning, and Expediting Clerks	Production, Planning, and Expediting Clerks
Shipping, Receiving, and Traffic Clerks	Shipping, Receiving, and Traffic Clerks
Stock Clerks and Order Fillers	Stock Clerks and Order Fillers
Weighers, Measurers, Checkers, and Samplers, Recordkeeping	Weighers, Measurers, Checkers, and Samplers, Recordkeeping
Secretaries and Administrative Assistants	Executive Secretaries and Executive Administrative Assistants
Secretaries and Administrative Assistants	Secretaries and Administrative Assistants, Except Legal, Medical, and Executive
Computer Operators	Computer Operators
Data Entry Keyers	Data Entry Keyers
Word Processors and Typists	Word Processors and Typists
Insurance Claims and Policy Processing Clerks	Insurance Claims and Policy Processing Clerks
Insurance Claims and Policy Processing Clerks	Insurance Policy Processing Clerks
Mail Clerks and Mail Machine Operators, Except Postal Service	Mail Clerks and Mail Machine Operators, Except Postal Service
Office Clerks, General	Office Clerks, General
Office Machine Operators, Except Computer	Office Machine Operators, Except Computer
Proofreaders and Copy Markers	Proofreaders and Copy Markers
Statistical Assistants	Statistical Assistants
Office and administrative support workers	Office and Administrative Support Workers, All Other
Office and administrative support workers	First-Line Supervisors of Office and Administrative Support Workers
First-Line Supervisors of Farming, Fishing, and Forestry Workers	First-Line Supervisors of Farming, Fishing, and Forestry Workers
Agricultural Inspectors	Agricultural Inspectors
Graders and Sorters, Agricultural Products	Graders and Sorters, Agricultural Products
Agricultural workers	Agricultural Workers, All Other
Fishing and hunting workers	Sheet Metal Workers
Fishing and hunting workers	Textile Bleaching and Dyeing Machine Operators and Tenders
Forest and Conservation Workers	Forest and Conservation Workers
Logging Workers	First-Line Supervisors of Logging Workers
Logging Workers	Logging Workers, All Other
First-Line Supervisors of Construction Trades and Extraction Workers	First-Line Supervisors of Construction Trades and Extraction Workers
Boilermakers	Boilermakers
Brickmasons, Blockmasons, and Stonemasons	Stonemasons
Carpenters	Carpenters
Carpenters	Construction Carpenters
Carpet, Floor, and Tile Installers and Finishers	Carpet Installers
Carpet, Floor, and Tile Installers and Finishers	Floor Layers, Except Carpet, Wood, and Hard Tiles
Cement Masons, Concrete Finishers, and Terrazzo Workers	Cement Masons and Concrete Finishers
Construction Laborers	Construction Laborers
Paving, Surfacing, and Tamping Equipment Operators	Paving, Surfacing, and Tamping Equipment Operators
Construction equipment operators except paving, surfacing, and tamping equipment operators	Paving, Surfacing, and Tamping Equipment Operators
Drywall Installers, Ceiling Tile Installers, and Tapers	Tapers
Electricians	Electricians
Electricians	Helpers--Electricians
Glaziers	Glaziers
Insulation Workers	Insulation Workers, Floor, Ceiling, and Wall
Insulation Workers	Insulation Workers, Mechanical
Painters, Construction and Maintenance	Painters, Construction and Maintenance
Paperhangers	Paperhangers
Paperhangers	Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons
Pipelayers, Plumbers, Pipefitters, and Steamfitters	Plumbers, Pipefitters, and Steamfitters
Pipelayers, Plumbers, Pipefitters, and Steamfitters	Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters
Plasterers and Stucco Masons	Plasterers and Stucco Masons
Reinforcing Iron and Rebar Workers	Reinforcing Iron and Rebar Workers
Roofers	Roofers
Roofers	Helpers--Roofers
Sheet Metal Workers, metal-working	Sheet Metal Workers
Structural Iron and Steel Workers	Structural Iron and Steel Workers
Helpers, Construction Trades	Helpers, Construction Trades, All Other
Construction and Building Inspectors	Construction and Building Inspectors
Elevator Installers and Repairers	Elevator Installers and Repairers
Fence Erectors	Fence Erectors
Hazardous Materials Removal Workers	Hazardous Materials Removal Workers
Highway Maintenance Workers	Highway Maintenance Workers
Rail-Track Laying and Maintenance Equipment Operators	Rail-Track Laying and Maintenance Equipment Operators
Construction workers	Construction Carpenters
Construction workers	Construction Laborers
Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining	Service Unit Operators, Oil, Gas, and Mining
Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining	Service Unit Operators, Oil, Gas, and Mining
Earth Drillers, Except Oil and Gas	Earth Drillers, Except Oil and Gas
Explosives Workers, Ordnance Handling Experts, and Blasters	Explosives Workers, Ordnance Handling Experts, and Blasters
Mining Machine Operators	Continuous Mining Machine Operators
Mining Machine Operators	Mining Machine Operators, All Other
Extraction workers	First-Line Supervisors of Construction Trades and Extraction Workers
Extraction workers	Helpers--Extraction Workers
First-Line Supervisors of Mechanics, Installers, and Repairers	First-Line Supervisors of Mechanics, Installers, and Repairers
Computer, Automated Teller, and Office Machine Repairers	Computer, Automated Teller, and Office Machine Repairers
Radio and Telecommunications Equipment Installers and Repairers	Telecommunications Equipment Installers and Repairers, Except Line Installers
Radio and Telecommunications Equipment Installers and Repairers	Telecommunications Line Installers and Repairers
Avionics Technicians	Avionics Technicians
Electric Motor, Power Tool, and Related Repairers	Electric Motor, Power Tool, and Related Repairers
Electrical and electronics installers and repairers, transportation equipment, and industrial and utility	Electrical and Electronics Installers and Repairers, Transportation Equipment
Electronic Equipment Installers and Repairers, Motor Vehicles	Electronic Equipment Installers and Repairers, Motor Vehicles
Electronic Home Entertainment Equipment Installers and Repairers	Electronic Home Entertainment Equipment Installers and Repairers
Electronic Repairs	Electrical and Electronics Repairers, Commercial and Industrial Equipment
Electronic Repairs	Electrical and Electronics Repairers, Powerhouse, Substation, and Relay
Security and Fire Alarm Systems Installers	Security and Fire Alarm Systems Installers
Aircraft Mechanics and Service Technicians	Aircraft Mechanics and Service Technicians
Automotive Body and Related Repairers	Automotive Body and Related Repairers
Automotive Glass Installers and Repairers	Automotive Glass Installers and Repairers
Automotive Service Technicians and Mechanics	Automotive Service Technicians and Mechanics
Bus and Truck Mechanics and Diesel Engine Specialists	Bus and Truck Mechanics and Diesel Engine Specialists
Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics	Farm Equipment Mechanics and Service Technicians
Small Engine Mechanics	Outdoor Power Equipment and Other Small Engine Mechanics
Vehicle and Mobile Equipment Mechanics, Installers, and Repairers	Carpet Installers
Vehicle and Mobile Equipment Mechanics, Installers, and Repairers	Terrazzo Workers and Finishers
Control and Valve Installers and Repairers	Control and Valve Installers and Repairers, Except Mechanical Door
Heating, Air Conditioning, and Refrigeration Mechanics and Installers	Heating, Air Conditioning, and Refrigeration Mechanics and Installers
Heating, Air Conditioning, and Refrigeration Mechanics and Installers	Heating and Air Conditioning Mechanics and Installers
Home Appliance Repairers	Home Appliance Repairers
Industrial and Refractory Machinery Mechanics	Electricians
Industrial and Refractory Machinery Mechanics	Elevator Installers and Repairers
Maintenance and Repair Workers, General	Maintenance and Repair Workers, General
Maintenance Workers, Machinery	Maintenance Workers, Machinery
Millwrights	Millwrights
Electrical Power-Line Installers and Repairers	Electrical Power-Line Installers and Repairers
Telecommunications Line Installers and Repairers	Telecommunications Line Installers and Repairers
Precision Instrument and Equipment Repairers	Precision Instrument and Equipment Repairers, All Other
Coin, Vending, and Amusement Machine Servicers and Repairers	Coin, Vending, and Amusement Machine Servicers and Repairers
Locksmiths and Safe Repairers	Locksmiths and Safe Repairers
Manufactured Building and Mobile Home Installers	Manufactured Building and Mobile Home Installers
Riggers	Riggers
